time,deviceName,temperature,humidity,pressure_hPa,battery_mV,rssi,snr
2025-09-01T15:39:22.683272147+00:00,NodoTest,23.05,65.97,1007.0,14.0,-78,14.0
2025-09-01T15:40:22.817177704+00:00,NodoTest,23.16,65.71,1007.0,18.0,-81,13.5
2025-09-01T15:41:22.932962205+00:00,NodoTest,23.11,65.59,1007.0,16.0,-77,10.8
2025-09-01T15:42:23.057443577+00:00,NodoTest,23.09,65.55,1007.0,16.0,-79,12.8
2025-09-01T15:43:23.210007819+00:00,NodoTest,23.1,65.41,1007.0,18.0,-79,13.5
2025-09-01T15:44:23.328757672+00:00,NodoTest,23.06,65.55,1007.0,14.0,-79,13.5
2025-09-01T15:45:23.439866599+00:00,NodoTest,23.07,65.5,1007.0,14.0,-80,13.8
2025-09-01T15:46:23.573145785+00:00,NodoTest,23.11,65.66,1007.0,18.0,-79,13.0
2025-09-01T15:47:23.718627675+00:00,NodoTest,23.05,65.84,1007.0,14.0,-79,13.3
2025-09-01T15:48:23.851118510+00:00,NodoTest,23.1,65.68,1007.0,14.0,-77,14.0
2025-09-01T15:49:23.993674030+00:00,NodoTest,23.1,65.51,1007.0,18.0,-78,13.5
2025-09-01T15:50:24.084342346+00:00,NodoTest,23.11,65.51,1007.0,14.0,-78,14.0
2025-09-01T15:51:24.253733847+00:00,NodoTest,23.08,65.45,1007.0,18.0,-83,13.3
2025-09-01T15:52:24.421386292+00:00,NodoTest,23.12,65.38,1007.0,14.0,-80,11.0
2025-09-01T15:53:24.508888071+00:00,NodoTest,23.13,65.32,1007.0,14.0,-80,13.8
2025-09-01T15:54:24.603550739+00:00,NodoTest,23.11,65.31,1007.0,14.0,-83,13.5
2025-09-01T15:55:24.646482148+00:00,NodoTest,23.09,65.35,1007.0,16.0,-80,13.5
2025-09-01T15:56:24.822326779+00:00,NodoTest,23.12,65.26,1007.0,12.0,-79,13.5
2025-09-01T15:57:24.905202891+00:00,NodoTest,23.13,65.25,1007.0,14.0,-79,10.0
2025-09-01T15:58:24.912952929+00:00,NodoTest,23.12,65.25,1007.0,14.0,-81,13.5
2025-09-01T15:59:25.072226579+00:00,NodoTest,23.09,65.38,1007.0,16.0,-80,14.0
2025-09-01T16:00:25.216687617+00:00,NodoTest,23.14,65.42,1007.0,18.0,-80,13.0
2025-09-01T16:01:25.362056044+00:00,NodoTest,23.11,65.57,1007.0,12.0,-80,13.5
2025-09-01T16:02:25.497895823+00:00,NodoTest,23.14,65.39,1007.0,14.0,-79,13.8
2025-09-01T16:03:25.646590176+00:00,NodoTest,23.16,65.3,1007.0,18.0,-69,13.8
