time,deviceName,Lmax_dB,Lmax_class,LAeq1min_dB,LAeq_Background Noise,LAeq_People,LAeq_Vehicle,pct_Background Noise,pct_People,pct_Vehicle,P10_dB,P50_dB,P90_dB,rssi,snr
2026-01-31 01:29:34,Salón - Extremo,52.4,Background Noise,46.3,46.3,0.0,0.0,100.0,0.0,0.0,40.1,40.6,51.0,-89,13.3
2026-01-31 01:30:37,Pasillo de Laboratorio,51.3,Background Noise,44.7,44.7,0.0,0.0,100.0,0.0,0.0,40.1,40.4,50.5,-86,14.0
2026-01-31 01:30:50,Main Lobby,50.1,Background Noise,44.1,44.1,0.0,0.0,100.0,0.0,0.0,40.0,40.2,50.1,-88,14.3
2026-01-31 01:31:42,Pasillo de Salones,55.8,Background Noise,50.3,50.3,0.0,0.0,100.0,0.0,0.0,40.5,50.7,52.4,-88,14.3
2026-01-31 01:31:43,Salón - Uma,63.4,Background Noise,56.5,56.5,56.4,0.0,97.3,2.7,0.0,53.7,56.1,58.5,-105,9.0
2026-01-31 01:34:05,Pasillo Administrativo,57.9,Background Noise,56.7,56.7,0.0,0.0,100.0,0.0,0.0,56.7,56.7,56.7,-114,-1.8
2026-01-31 01:34:35,Salón - Extremo,52.9,Background Noise,46.6,46.6,0.0,0.0,100.0,0.0,0.0,40.1,40.6,50.8,-90,13.5
2026-01-31 01:35:37,Pasillo de Laboratorio,52.8,Background Noise,45.1,45.1,0.0,0.0,100.0,0.0,0.0,40.1,40.5,50.7,-87,13.5
2026-01-31 01:35:50,Main Lobby,50.2,Background Noise,42.2,42.2,0.0,0.0,100.0,0.0,0.0,40.1,40.3,41.0,-90,12.8
2026-01-31 01:36:42,Pasillo de Salones,55.8,Background Noise,50.4,50.4,0.0,0.0,100.0,0.0,0.0,40.4,50.8,52.6,-77,14.3
2026-01-31 01:36:43,Salón - Uma,65.0,Background Noise,56.4,56.4,56.2,0.0,97.9,2.1,0.0,53.8,56.0,58.3,-101,11.3
2026-01-31 01:39:05,Pasillo Administrativo,58.8,Background Noise,56.1,56.1,0.0,0.0,100.0,0.0,0.0,56.1,56.1,56.1,-113,1.0
2026-01-31 01:39:35,Salón - Extremo,52.2,Background Noise,46.3,46.3,0.0,0.0,100.0,0.0,0.0,40.1,40.6,50.7,-89,13.5
2026-01-31 01:40:37,Pasillo de Laboratorio,52.5,Background Noise,44.8,44.8,0.0,0.0,100.0,0.0,0.0,40.0,40.3,50.3,-86,12.3
2026-01-31 01:40:50,Main Lobby,40.9,Background Noise,40.3,40.3,40.2,0.0,99.9,0.1,0.0,40.1,40.2,40.6,-90,13.8
2026-01-31 01:41:43,Pasillo de Salones,55.0,Background Noise,50.3,50.3,0.0,0.0,100.0,0.0,0.0,40.4,50.7,52.6,-78,13.8
2026-01-31 01:41:43,Salón - Uma,64.0,People,56.5,56.5,56.4,0.0,96.8,3.2,0.0,53.7,56.1,58.4,-98,12.5
2026-01-31 01:44:05,Pasillo Administrativo,56.1,Background Noise,55.1,55.1,0.0,0.0,100.0,0.0,0.0,55.1,55.1,55.1,-113,2.5
2026-01-31 01:44:35,Salón - Extremo,53.0,Background Noise,46.6,46.6,0.0,0.0,100.0,0.0,0.0,40.1,40.6,50.8,-89,13.8
2026-01-31 01:45:37,Pasillo de Laboratorio,51.7,Background Noise,43.5,43.5,40.2,40.7,99.4,0.3,0.3,40.1,40.4,50.1,-86,13.5
2026-01-31 01:45:50,Main Lobby,40.2,Background Noise,40.2,40.2,0.0,0.0,100.0,0.0,0.0,40.2,40.2,40.2,-89,13.5
2026-01-31 01:46:43,Pasillo de Salones,54.9,Background Noise,50.0,50.0,0.0,0.0,100.0,0.0,0.0,40.4,50.6,52.4,-78,9.5
2026-01-31 01:46:43,Salón - Uma,63.2,Background Noise,56.4,56.4,56.1,0.0,97.6,2.4,0.0,53.6,56.1,58.4,-94,13.0
2026-01-31 01:49:05,Pasillo Administrativo,56.7,Background Noise,56.7,56.7,56.7,0.0,99.8,0.2,0.0,56.7,56.7,56.7,-111,4.0
2026-01-31 01:49:35,Salón - Extremo,52.3,Background Noise,46.8,46.8,0.0,0.0,100.0,0.0,0.0,40.1,40.7,50.9,-92,11.3
2026-01-31 01:50:37,Pasillo de Laboratorio,52.6,Background Noise,46.1,46.1,43.6,0.0,99.3,0.7,0.0,40.0,40.5,50.7,-86,14.0
2026-01-31 01:50:50,Main Lobby,40.2,Background Noise,40.2,40.2,0.0,0.0,100.0,0.0,0.0,40.2,40.2,40.2,-90,13.8
2026-01-31 01:51:45,Pasillo de Salones,55.3,Background Noise,50.1,50.1,0.0,0.0,100.0,0.0,0.0,40.3,50.6,52.5,-88,13.3
2026-01-31 01:51:45,Salón - Uma,63.0,Background Noise,56.5,56.5,56.4,0.0,97.4,2.6,0.0,53.7,56.1,58.4,-104,9.8
