time,deviceName,max_dB,class_label,average_dB,stdev,rssi,snr
2025-12-14 04:03:50,INMP441,57.9,Background Noise,54.7,1.39,-108,6.8
2025-12-14 04:04:50,INMP441,59.5,Background Noise,54.7,1.48,-107,6.5
2025-12-14 04:05:50,INMP441,58.1,Background Noise,54.6,1.51,-105,9.3
2025-12-14 04:06:50,INMP441,58.1,Background Noise,54.7,1.41,-116,-2.0
2025-12-14 04:07:50,INMP441,58.4,Background Noise,54.4,1.51,-115,-3.8
2025-12-14 04:08:50,INMP441,58.9,Background Noise,54.6,1.58,-110,5.3
2025-12-14 04:09:50,INMP441,59.3,Background Noise,54.7,1.53,-109,6.8
2025-12-14 04:10:50,INMP441,57.7,Background Noise,54.6,1.41,-106,9.3
2025-12-14 04:11:50,INMP441,57.7,Background Noise,54.4,1.5,-115,-2.3
2025-12-14 04:12:50,INMP441,58.3,Background Noise,54.7,1.61,-106,9.0
2025-12-14 04:13:50,INMP441,58.7,Background Noise,54.7,1.46,-111,2.3
2025-12-14 04:14:50,INMP441,58.7,Background Noise,54.8,1.26,-114,0.3
2025-12-14 04:15:50,INMP441,58.3,Background Noise,54.6,1.7,-113,1.8
2025-12-14 04:16:50,INMP441,58.7,Background Noise,54.7,1.46,-107,6.5
2025-12-14 04:17:50,INMP441,59.0,Background Noise,54.6,1.8,-107,8.0
2025-12-14 04:18:50,INMP441,58.3,Background Noise,54.9,1.52,-105,9.5
2025-12-14 04:19:50,INMP441,58.5,Background Noise,54.6,1.85,-114,0.3
2025-12-14 04:20:50,INMP441,58.6,Background Noise,54.7,1.67,-111,3.8
2025-12-14 04:21:50,INMP441,58.4,Background Noise,54.6,1.42,-106,7.5
2025-12-14 04:22:50,INMP441,58.0,Background Noise,54.6,1.45,-104,10.0
2025-12-14 04:23:51,INMP441,59.3,Background Noise,54.7,1.42,-114,1.5
2025-12-14 04:24:51,INMP441,58.1,Background Noise,54.6,1.49,-107,8.5
2025-12-14 04:25:51,INMP441,59.9,Background Noise,54.6,1.7,-108,7.5
2025-12-14 04:26:51,INMP441,58.0,Background Noise,54.5,1.48,-114,-3.8
2025-12-14 04:27:51,INMP441,57.9,Background Noise,54.5,1.5,-112,1.8
2025-12-14 04:28:51,INMP441,58.5,Background Noise,54.6,1.47,-114,0.8
2025-12-14 04:29:51,INMP441,59.4,Background Noise,54.6,1.46,-107,6.5
2025-12-14 04:30:51,INMP441,59.0,Background Noise,54.7,1.5,-106,8.8
2025-12-14 04:31:51,INMP441,58.0,Background Noise,54.6,1.45,-109,1.5
2025-12-14 04:32:51,INMP441,58.3,Background Noise,54.7,1.51,-106,7.3
2025-12-14 04:33:51,INMP441,58.2,Background Noise,54.8,1.42,-106,9.0
2025-12-14 04:34:51,INMP441,57.8,Background Noise,54.5,1.77,-115,-0.3
2025-12-14 04:35:51,INMP441,57.7,Background Noise,54.7,1.47,-111,3.8
2025-12-14 04:36:51,INMP441,59.1,Background Noise,54.7,1.78,-111,3.5
2025-12-14 04:37:51,INMP441,58.8,Background Noise,54.8,1.73,-105,7.3
2025-12-14 04:38:51,INMP441,57.9,Background Noise,54.8,1.44,-105,9.5
2025-12-14 04:39:51,INMP441,58.3,Background Noise,54.6,1.74,-114,0.8
2025-12-14 04:40:51,INMP441,58.3,Background Noise,54.6,1.48,-109,6.8
2025-12-14 04:41:51,INMP441,58.2,Background Noise,54.6,1.72,-106,8.8
2025-12-14 04:42:51,INMP441,58.7,Background Noise,54.6,1.49,-106,7.5
2025-12-14 04:43:51,INMP441,58.9,Background Noise,54.6,1.48,-111,2.0
2025-12-14 04:44:54,INMP441,58.2,Background Noise,54.6,1.54,-106,9.3
2025-12-14 04:45:51,INMP441,58.1,Background Noise,54.6,1.5,-107,8.0
2025-12-14 04:46:51,INMP441,58.2,Background Noise,54.6,1.45,-106,8.5
2025-12-14 04:47:52,INMP441,58.5,Background Noise,54.8,1.76,-111,4.0
2025-12-14 04:48:52,INMP441,58.5,Background Noise,54.8,1.52,-106,9.0
2025-12-14 04:49:52,INMP441,58.3,Background Noise,54.6,1.56,-105,6.8
2025-12-14 04:50:52,INMP441,58.9,Background Noise,54.5,1.59,-106,9.0
2025-12-14 04:51:52,INMP441,59.5,Background Noise,54.6,1.93,-109,2.3
2025-12-14 04:52:52,INMP441,58.5,Background Noise,54.5,1.62,-114,
2025-12-14 04:53:52,INMP441,58.3,Background Noise,54.5,1.52,-106,9.3
2025-12-14 04:54:52,INMP441,58.2,Background Noise,54.8,1.5,-108,7.0
2025-12-14 04:55:52,INMP441,57.8,Background Noise,54.7,1.45,-109,6.0
2025-12-14 04:56:52,INMP441,58.9,Background Noise,54.7,1.49,-114,0.8
2025-12-14 04:57:52,INMP441,58.2,Background Noise,54.8,1.52,-105,8.0
2025-12-14 04:58:52,INMP441,58.2,Background Noise,54.7,1.53,-106,6.3
2025-12-14 04:59:52,INMP441,59.1,Background Noise,54.8,1.45,-112,2.3
2025-12-14 05:00:52,INMP441,58.4,Background Noise,54.7,1.48,-106,8.3
2025-12-14 05:01:52,INMP441,57.8,Background Noise,54.7,1.37,-115,-4.8
2025-12-14 05:02:52,INMP441,58.7,Background Noise,54.7,1.73,-114,0.8
2025-12-14 05:03:52,INMP441,58.3,Background Noise,54.6,1.71,-106,8.8
2025-12-14 05:04:52,INMP441,58.2,Background Noise,54.5,1.62,-105,10.0
2025-12-14 05:05:52,INMP441,58.5,Background Noise,54.6,1.56,-110,4.8
2025-12-14 05:06:52,INMP441,58.6,Background Noise,54.6,1.66,-114,1.0
2025-12-14 05:07:52,INMP441,58.1,Background Noise,54.7,1.5,-114,-4.0
2025-12-14 05:08:52,INMP441,59.3,Background Noise,54.7,1.49,-106,8.3
2025-12-14 05:09:52,INMP441,58.7,Background Noise,54.5,1.53,-106,8.8
2025-12-14 05:10:52,INMP441,58.4,Background Noise,54.5,1.91,-105,9.8
2025-12-14 05:11:52,INMP441,58.4,Background Noise,54.7,1.44,-109,6.5
2025-12-14 05:12:52,INMP441,58.0,Background Noise,54.8,1.74,-105,7.5
2025-12-14 05:13:52,INMP441,58.5,Background Noise,54.7,1.51,-111,3.5
2025-12-14 05:14:52,INMP441,59.0,Background Noise,54.7,1.51,-110,5.5
2025-12-14 05:15:52,INMP441,57.9,Background Noise,54.6,1.52,-105,7.5
2025-12-14 05:16:53,INMP441,58.1,Background Noise,54.6,1.72,-106,8.8
2025-12-14 05:17:53,INMP441,59.1,Background Noise,54.7,1.71,-106,8.8
2025-12-14 05:18:53,INMP441,58.7,Background Noise,54.6,1.74,-104,10.3
2025-12-14 05:19:53,INMP441,58.8,Background Noise,54.6,1.46,-107,8.3
2025-12-14 05:21:53,INMP441,57.9,Background Noise,54.5,1.55,-112,2.8
2025-12-14 05:22:53,INMP441,58.3,Background Noise,54.8,1.53,-104,10.3
2025-12-14 05:23:53,INMP441,59.2,Background Noise,54.6,1.75,-111,3.5
2025-12-14 05:24:53,INMP441,59.1,Background Noise,54.7,1.55,-115,-1.0
